name,scientific name,status,breeds in Iowa,range,habitat,preferred food sources,nesting information,months you can see them,image,image credit
Mourning Warbler,Geothlypis philadelphia,rare,no,Breeds in northeastern and north-central North America; winters in Central and South America,"Young forest, dense thickets, regenerating clearings","insects, caterpillars, spiders",Ground nest hidden in dense vegetation,May to August,images/thumbnails/mourning-warbler.jpg,
Kentucky Warbler,Geothlypis formosa,rare,yes,"Breeds in eastern U.S.; winters in Mexico, Central America, and northern South America",Rich deciduous forest with dense understory,"insects, caterpillars, spiders, beetles",Ground nest hidden in leaf litter,April to August,images/thumbnails/kentucky-warbler.jpg,
Common Yellowthroat,Geothlypis trichas,common,yes,"Breeds across much of North America; winters in southern U.S., Mexico, Caribbean, and Central America","Marshes, wet fields, brushy edges, dense low vegetation","insects, caterpillars, spiders, beetles",Nest in marsh vegetation,April to September,images/thumbnails/common-yellowthroat.jpg,
Hooded Warbler,Setophaga citrina,rare,yes,"Breeds in eastern U.S.; winters in Mexico, Caribbean, and Central America","Mature forest with dense understory, ravines, wooded wetlands","insects, caterpillars, spiders",Cup nest in shrubs and small trees,April to August,images/thumbnails/hooded-warbler.jpg,
American Redstart,Setophaga ruticilla,common,yes,"Breeds across much of North America; winters in Mexico, Caribbean, Central America, and northern South America","Deciduous forest, second growth, woodland edges","insects, caterpillars, spiders, beetles",Cup nest in trees,May to August,images/thumbnails/american-redstart.jpg,
Cape May Warbler,Setophaga tigrina,uncommon,no,Breeds in Canadian boreal spruce-fir forest; winters in Caribbean,Spruce-fir forest in summer; flowering trees and edges in winter,"insects, caterpillars, beetles, spiders",Cup nest in spruce trees,May to August,images/thumbnails/cape-may-warbler.jpg,
Cerulean Warbler,Setophaga cerulea,rare,yes,Breeds in eastern deciduous forests; winters in northern South America,"Mature deciduous forest, forested ridges, tall canopy","insects, caterpillars, beetles, spiders",Cup nest high in tall trees,May to July,images/thumbnails/cerulean-warbler.jpg,
Northern Parula,Setophaga americana,uncommon,no,"Breeds in eastern North America; winters in Florida, Caribbean, Mexico, and Central America","Mature forest with epiphytes, moss, lichens, or Spanish moss","insects, caterpillars, spiders, small arthropods",Nest in tree epiphytes or hanging moss,April to July,images/thumbnails/northern-parula.jpg,
Magnolia Warbler,Setophaga magnolia,common,no,"Breeds in Canadian boreal and northern forests; winters in Mexico, Central America, and Caribbean","Young coniferous and mixed forest, especially spruce-fir","insects, caterpillars, spiders, beetles",Cup nest in conifer trees,May to August,images/thumbnails/magnolia-warbler.jpg,
Bay-breasted Warbler,Setophaga castanea,uncommon,no,Breeds in Canadian boreal forest; winters in Central and northern South America,"Spruce-fir forest, especially during spruce budworm outbreaks","caterpillars, insects, spiders",Cup nest in conifer trees,May to September,images/thumbnails/bay-breasted-warbler.jpg,
Blackburnian Warbler,Setophaga fusca,uncommon,no,Breeds in northeastern and Appalachian forests; winters in northern South America,"Mature coniferous and mixed forest, high canopy","insects, caterpillars, beetles, spiders",Cup nest in conifer trees,May to August,images/thumbnails/blackburnian-warbler.jpg,
Northern Yellow Warbler,Setophaga petechia,common,yes,"Breeds across much of North America; winters in Mexico, Central America, and northern South America","Willows, wet thickets, stream edges, shrubby areas","insects, caterpillars, spiders, beetles",Cup nest in shrubs,May to August,images/thumbnails/northern-yellow-warbler.jpg,
Chestnut-sided Warbler,Setophaga pensylvanica,uncommon,yes,Breeds in northeastern and north-central North America; winters in Central America,"Young forest, brushy clearings, regenerating woodland","insects, caterpillars, spiders, beetles",Cup nest in small trees and shrubs,May to August,images/thumbnails/chestnut-sided-warbler.jpg,
Blackpoll Warbler,Setophaga striata,uncommon,no,Breeds across boreal Canada and Alaska; winters in northern South America,"Boreal spruce-fir forest, tundra-edge shrubs","insects, caterpillars, beetles, berries",Cup nest in conifer trees,May to September,images/thumbnails/blackpoll-warbler.jpg,
Black-throated Blue Warbler,Setophaga caerulescens,rare,no,Breeds in northeastern and Appalachian forests; winters in Caribbean,Mature deciduous and mixed forest with dense understory,"insects, caterpillars, spiders, arthropods",Cup nest in shrubs in deciduous forest,May to August,images/thumbnails/black-throated-blue-warbler.jpg,
Palm Warbler,Setophaga palmarum,uncommon,no,"Breeds in bogs and boreal wetlands; winters in southeastern U.S., Caribbean, and Central America","Boreal bogs, open wetlands, weedy fields during migration","insects, caterpillars, spiders, berries",Ground nest in grassy areas,April to September,images/thumbnails/palm-warbler.jpg,
Pine Warbler,Setophaga pinus,rare,yes,Breeds in eastern pine forests; winters in southeastern U.S. and Caribbean,"Pine woods, pine plantations, mixed pine-oak forest","insects, caterpillars, beetles, seeds",Cup nest in pine trees,March to September,images/thumbnails/pine-warbler.jpg,
Yellow-rumped Warbler,Setophaga coronata,common,no,"Breeds across northern and western North America; winters widely in U.S., Mexico, and Central America",Coniferous and mixed forests; open woods and shrubs during winter,"insects, caterpillars, berries, seeds",Cup nest in conifer trees,March to November,images/thumbnails/yellow-rumped-warbler.jpg,
Yellow-throated Warbler,Setophaga dominica,uncommon,yes,"Breeds in southeastern and central U.S.; winters in Florida, Caribbean, Mexico, and Central America","Sycamore-lined rivers, cypress swamps, pine plantations","insects, caterpillars, beetles, spiders",Cup nest in tall trees,April to August,images/thumbnails/yellow-throated-warbler.jpg,
Prairie Warbler,Setophaga discolor,rare,yes,"Breeds in eastern U.S.; winters in Florida, Caribbean, and Central America","Shrubby fields, pine barrens, young forest, dry scrub","insects, caterpillars, spiders, beetles",Cup nest in shrubs,April to August,images/thumbnails/prairie-warbler.jpg,
Black-throated Green Warbler,Setophaga virens,uncommon,no,"Breeds in eastern and northern forests; winters in Mexico, Central America, and Caribbean","Coniferous and mixed forests, hemlock, spruce, pine","insects, caterpillars, spiders, beetles",Cup nest in conifer trees,April to September,images/thumbnails/black-throated-green-warbler.jpg,
Canada Warbler,Cardellina canadensis,uncommon,no,Breeds in Canada and northeastern U.S.; winters in northern South America,"Moist forest, streamside thickets, boggy woods, dense understory","insects, caterpillars, spiders, small arthropods",Cup nest on ground or low shrubs,May to August,images/thumbnails/canada-warbler.jpg,
Wilsons Warbler,Cardellina pusilla,uncommon,no,Breeds across Canada and western mountains; winters in Mexico and Central America,"Willow thickets, wet shrubs, riparian edges","insects, caterpillars, spiders",Cup nest on ground in shrubby areas,May to August,images/thumbnails/wilsons-warbler.jpg,
